rank,name,value
232,Roman Čechmánek,4742
233,Lukáš Dostál,4702
234,Doug Keans,4606
235,Eddie Mio,4598
236,Chad Johnson,4589
237,Pete LoPresti,4570
238,Jack Campbell,4547
239,Calvin Pickard,4536
240,Mikko Koskinen,4527
241,Jason LaBarbera,4476
242,Scott Clemmensen,4463
243,Anders Nilsson,4428
244,Wendell Young,4352
245,Joey Daccord,4340
246,Charlie Lindgren,4293
247,Keith Kinkaid,4287
248,Alex Stalock,4279
249,Jonas Gustavsson,4251
250,Ville Husso,4250
251,Pascal Leclaire,4245
252,Mikhail Shtalenkov,4242
253,Darcy Wakaluk,4215
254,Vincent Riendeau,4207
255,Anthony Stolarz,4202
256,Robert Esche,4152
257,Al Jensen,4098
258,Gary Inness,4071
259,Al Montoya,4013
260,Jhonas Enroth,3982
261,Karri Rämö,3974
262,Pelle Lindbergh,3929
263,Mike Veisor,3906
264,Jeff Reese,3851
265,Richard Sévigny,3848
266,Kaapo Kähkönen,3797
267,Spencer Knight,3789
268,Louis Domingue,3776
269,Tommy Söderström,3769
270,Ben Scrivens,3708
271,Daniel Vladař,3674
272,Alex Lyon,3670
273,Josh Harding,3657
274,Jim Carey,3650
275,Michael Hutchinson,3648
276,Bob Mason,3638
277,Kay Whitmore,3542
278,Eddie Läck,3483
279,Connor Ingram,3454
280,Roberto Romano,3434
281,Kari Takko,3433
282,Laurent Brossoit,3429
283,Joey MacDonald,3381
284,Frank Pietrangelo,3354
285,Don Simmons,3268
286,Dustin Wolf,3249
287,Milan Hnilička,3239
288,Joseph Woll,3217
289,Mike Condon,3185
290,Rick St. Croix,3184
291,Aaron Dell,3183
292,Pasi Nurminen,3181
293,Scott Darling,3165
294,Curtis Sanford,3139
295,Corey Schwab,3114
296,Anders Lindbäck,3076
297,Samuel Ersson,3039
298,Pokey Reddick,3037
299,Bernie Wolfe,3017
300,Pat Jablonski,2998
301,Hank Bassen,2997
302,Arvid Söderblom,2972
303,Gary Bromley,2954
304,Joe Daley,2914
305,Gary Simmons,2897
306,Bob Janecyk,2843
307,Calvin Petersen,2808
308,Ernie Wakely,2802
309,Joel Hofer,2793
310,Pyotr Kochetkov,2785
311,Pēteris Skudra,2752
312,Wade Flaherty,2745
313,Jussi Markkanen,2695
314,Michael Leighton,2687
315,Mikael Tellqvist,2664
316,Ron Grahame,2643
317,Daniil Tarasov,2605
318,Corey Hirsch,2594
319,Paul Harrison,2585
320,Eric Comrie,2563
321,Jonas Johansson,2526
322,Sébastien Caron,2445
323,Corrado Micalef,2435
324,Curt Ridley,2417
325,Frank Caprice,2380
326,Mark LaForest,2328
327,Markus Mattsson,2242
328,Éric Fichaud,2194
328,Dustin Tokarski,2194
330,Malcolm Subban,2184
331,Fredrik Norrena,2166
332,Darren Pang,2150
333,Bill McKenzie,2146
334,Johan Holmqvist,2127
335,Darren Eliot,2117
336,Justin Peters,2083
337,Marcel Paille,2078
338,Jet Greaves,2056
339,Steve Passmore,2010
339,Robbie Tallas,2010
341,Wayne Rutledge,2002
342,Jimmy Waite,1984
343,Jiří Crha,1969
344,Pavel Francouz,1960
345,Stéphane Beauregard,1948
346,Dave Parro,1932
347,Steve Penney,1913
348,Peter Ing,1910
349,Jim Bedard,1894
350,Hardy Åström,1875
351,Jim Hrivnak,1865
352,Marco Baron,1863
353,Justus Annunen,1832
354,Pierre Hamel,1828
355,Marv Edwards,1818
356,Doug Grant,1812
357,Pheonix Copley,1811
358,Yves Bélanger,1789
359,Spencer Martin,1761
360,Michel Belhumeur,1757
361,Jeff Deslauriers,1751
362,Tim Bernhardt,1732
363,Jacques Caron,1712
364,Andrew Hammond,1706
365,Gord McRae,1696
366,Jani Hurme,1691
367,Robb Stauber,1683
368,Peter McDuffe,1673
369,Akira Schmid,1671
370,Reto Berra,1662
371,Chris Driedger,1661
372,George Gardner,1624
373,Jack Norris,1622
374,Troy Gamble,1605
375,Dan Blackburn,1589
376,Yaroslav Askarov,1568
377,Andy Brown,1549
378,Norm Maracle,1543
379,Viktor Fasth,1521
380,Jean-Claude Bergeron,1496
381,Mika Noronen,1479
382,Hannu Toivonen,1475
383,Jakub Dobes,1470
384,André Racicot,1436
385,Vincent Tremblay,1428
386,Fern Rivard,1427
387,Jason Muzzatti,1411
388,Collin Delia,1396
389,Cayden Primeau,1395
390,Marcus Högberg,1346
391,Andrei Trefilov,1328
392,Arturs Silovs,1323
393,Gary Laskoski,1300
394,Steve Baker,1289
395,Bill Oleschuk,1278
396,Harry Lumley,1255
397,Ross Brooks,1254
397,Yann Danis,1254
399,Kevin Poulin,1252
400,Nico Daws,1245
401,Tom Draper,1233
402,Dany Sabourin,1224
403,Erik Ersberg,1217
404,Bobby Taylor,1181
405,Don Head,1149
406,Martin Prusek,1132
407,Richard Bachman,1122
408,Jeff Zatkoff,1117
409,Kevin Hodson,1116
410,Ed Dyck,1083
411,Ken Lockett,1059
412,Rob Holland,1056
413,Jesper Wallstedt,1054
414,Wade Dubielewicz,1034
415,Zac Bierk,1032
416,Devon Levi,1025
417,John Blue,1015
418,Gilles Gratton,997
418,Garret Sparks,997
420,Mike Blake,982
420,Steve Valiquette,982
422,Jarmo Myllys,978
423,Jean-François Bérubé,977
424,Blaine Lacher,966
425,Rick Heinz,951
426,Devin Cooley,937
427,Darrin Madeley,919
428,Marc Behrend,907
429,Steve Guenette,900
429,Lindsay Middlebrook,900
431,Mike McKenna,869
432,Jason Bacashihua,866
433,Mario Brunetta,865
434,Warren Skorodenski,862
435,Jon Gillies,823
436,Joni Ortio,820
437,Brandon Bussi,814
438,Garry Bauman,776
439,Felix Sandström,746
440,Philippe Sauvé,739
441,Sam St. Laurent,716
442,Seth Martin,713
443,Leevi Merilainen,709
444,Marek Mazanec,702
445,Mads Søgaard,692
446,Darren Jensen,688
447,Bob Perreault,683
448,Tyler Moss,665
449,Chris Worthy,663
450,Matt Hackett,642
451,Dennis Hildeby,636
452,Larry Lozinski,630
453,Rich Parent,615
454,Ron Scott,613
455,Sébastien Charpentier,606
456,John Adams,605
457,Ken Broderick,602
458,Doug Dadswell,601
459,Jim Craig,600
460,Ivan Fedotov,592
461,Jim Corsi,576
462,Henrik Karlsson,570
463,Erik Källgren,563
464,Michael Garnett,561
464,Ivan Prosvetov,561
466,Göran Högosta,557
467,Daryl Reaugh,556
468,Scott Fankhouser,546
469,Nikita Tolopilo,536
470,Frédéric Chabot,521
471,Mike Bales,512
472,Magnus Hellberg,509
473,Rollie Boutin,507
474,Jared Coreau,497
475,Reinhard Divis,493
476,John Tanner,492
477,Scott Gordon,491
478,Bob Johnson,489
479,David LeNeveu,479
480,Maxime Lagace,477
481,Nick Ricci,474
482,Marcel Cousineau,458
483,Mike Morrison,452
484,Joaquin Gage,448
485,Bob Champoux,447
486,Don McLeod,441
487,Bruce Bullock,433
488,Niklas Svedberg,423
489,Jim Pettie,417
490,Dennis Riggin,412
491,Colten Ellis,411
492,Jacob Fowler,407
493,Jeff Glass,406
493,Scott Langkow,406
495,Adam Munro,400
