rank,name,value
244,Mats Zuccarello,744
246,Greg Adams,743
246,Johnny Gaudreau,743
246,Mathieu Schneider,743
249,Mark Howe,742
250,Scott Niedermayer,740
251,Miroslav Šatan,735
252,Andrew Brunette,733
253,Andrew Cassels,732
254,Matt Cullen,731
255,Bobby Carpenter,728
255,Murray Oliver,728
257,Mike Foligno,727
257,Jason Pominville,727
257,Cory Stillman,727
260,Bob Nevin,726
260,Kevin Stevens,726
262,Brayden Schenn,724
263,Dave Babych,723
264,Petr Sýkora,721
265,Dave Gagner,719
265,Alexei Zhamnov,719
267,Petr Nedvěd,717
267,Martin Straka,717
269,George Armstrong,713
269,Žigmund Pálffy,713
271,Dustin Brown,712
271,Vic Hadfield,712
271,Jeff Skinner,712
274,Sebastian Aho,711
274,Mikko Koivu,711
274,Charlie Simmer,711
277,Doug Mohns,710
278,Drew Doughty,709
278,Vladimir Tarasenko,709
280,Scott Hartnell,707
280,Mark Stone,707
282,Marc Savard,706
283,Robert Lang,703
283,Bobby Rousseau,703
285,René Robert,702
286,Mel Bridgman,701
286,Logan Couture,701
286,Rick Martin,701
289,Geoff Sanderson,700
290,Jack Eichel,698
290,Chris Pronger,698
292,Clark Gillies,697
293,Daniel Brière,696
293,Ryan Suter,696
293,James van Riemsdyk,696
296,T.J. Oshie,695
297,Cam Neely,694
298,Shayne Corson,693
299,William Nylander,691
300,Kent Nilsson,686
301,Danny Gare,685
301,Reed Larson,685
301,Brayden Point,685
301,Dan Quinn,685
305,Max Pacioretty,681
306,Zdeno Chára,680
306,Don Lever,680
306,Sam Reinhart,680
309,Michael Nylander,679
310,Walt Tkaczuk,678
311,Kevin Hatcher,677
311,Jozef Stümpel,677
313,Mike Bullard,674
313,Kyle Connor,674
313,Phil Goyette,674
313,Tim Kerr,674
317,Paul MacLean,673
317,Stan Smyl,673
319,Daymond Langkow,672
319,Craig Ramsay,672
321,Matthew Tkachuk,670
322,Reggie Leach,666
323,Guy Carbonneau,663
323,Jamie Langenbrunner,663
325,Martin Gélinas,660
326,Jake Guentzel,659
327,Red Berenson,658
327,Kelly Kisio,658
329,Ray Sheppard,657
330,Ulf Dahlén,655
331,Dennis Hull,654
331,Barry Pederson,654
333,Elias Lindholm,652
333,Brock Nelson,652
335,Mikael Granlund,651
335,Glen Murray,651
335,Bryan Smolinski,651
338,Evander Kane,648
339,Randy Carlyle,647
340,Duncan Keith,646
340,Ryan Walter,646
342,Igor Larionov,644
343,Dylan Larkin,643
