rank,name,value
250,Joey Daccord,69
250,Dave Dryden,69
252,John Garrett,68
252,Spencer Knight,68
254,Al Montoya,67
254,Ed Staniowski,67
254,Darcy Wakaluk,67
257,Samuel Ersson,65
258,Laurent Brossoit,64
258,Eddie Mio,64
260,Joseph Woll,63
261,Jason LaBarbera,62
261,Mikhail Shtalenkov,62
263,Louis Domingue,61
263,Pascal Leclaire,61
265,Michel Dion,60
265,Josh Harding,60
265,Karri Rämö,60
265,Kay Whitmore,60
265,Dustin Wolf,60
270,Joel Hofer,59
270,Anders Nilsson,59
270,Wendell Young,59
273,Les Binkley,58
273,Gary Inness,58
275,Michael Hutchinson,57
276,Eddie Läck,56
277,Connor Ingram,55
277,Bob Mason,55
279,Gary Bromley,54
279,Scott Darling,54
281,Jeff Reese,53
282,Pēteris Skudra,51
283,Aaron Dell,50
283,Jhonas Enroth,50
283,Ron Grahame,50
286,Kaapo Kähkönen,49
286,Rick St. Croix,49
288,Johan Holmqvist,48
288,Pasi Nurminen,48
288,Don Simmons,48
291,Curtis Sanford,47
291,Ben Scrivens,47
293,Calvin Petersen,46
293,Frank Pietrangelo,46
293,Pokey Reddick,46
293,Roberto Romano,46
297,Eric Comrie,45
297,Mike Condon,45
297,Anders Lindbäck,45
297,Tommy Söderström,45
297,Mikael Tellqvist,45
302,Pheonix Copley,44
302,Pavel Francouz,44
302,Bob Janecyk,44
302,Joey MacDonald,44
306,Jonas Johansson,43
306,Pete LoPresti,43
306,Jussi Markkanen,43
309,Corey Schwab,42
310,Hank Bassen,41
310,Mike Veisor,41
310,Ernie Wakely,41
313,Ross Brooks,37
313,Michael Leighton,37
313,Kari Takko,37
316,Jakub Dobes,36
316,Jet Greaves,36
316,Malcolm Subban,36
319,Justus Annunen,35
319,Fredrik Norrena,35
319,Steve Penney,35
322,Marco Baron,34
322,Joe Daley,34
322,Corey Hirsch,34
322,Jim Hrivnak,34
326,Akira Schmid,32
326,Daniil Tarasov,32
328,Brandon Bussi,31
328,Frank Caprice,31
328,Chris Driedger,31
328,Andrew Hammond,31
328,Martin Prusek,31
333,Gord McRae,30
333,Gary Simmons,30
335,Yves Bélanger,29
335,Milan Hnilička,29
335,Jani Hurme,29
338,Jiří Crha,28
338,Paul Harrison,28
338,Pat Jablonski,28
338,Wayne Rutledge,28
338,Robbie Tallas,28
338,Jimmy Waite,28
344,Wade Flaherty,27
344,Doug Grant,27
344,Darren Pang,27
344,Curt Ridley,27
344,Arturs Silovs,27
344,Dustin Tokarski,27
350,Yaroslav Askarov,26
350,Sébastien Caron,26
350,Viktor Fasth,26
350,Corrado Micalef,26
350,André Racicot,26
355,Mark LaForest,25
355,Spencer Martin,25
355,Justin Peters,25
355,Arvid Söderblom,25
359,Jacques Caron,24
359,Nico Daws,24
359,Darren Eliot,24
362,Jeff Deslauriers,23
362,Mika Noronen,23
362,Steve Passmore,23
365,Andy Brown,22
365,Éric Fichaud,22
365,Troy Gamble,22
365,Blaine Lacher,22
369,Jean-Claude Bergeron,21
369,Markus Mattsson,21
369,Marcel Paille,21
369,Dave Parro,21
369,Robb Stauber,21
374,Richard Bachman,20
374,Steve Baker,20
374,Reto Berra,20
374,Dan Blackburn,20
374,Peter Ing,20
374,Jack Norris,20
374,Jesper Wallstedt,20
374,Bernie Wolfe,20
382,Stéphane Beauregard,19
382,Collin Delia,19
382,Tom Draper,19
382,Steve Guenette,19
382,Gary Laskoski,19
387,Wade Dubielewicz,18
387,Erik Ersberg,18
387,Bill McKenzie,18
387,Kevin Poulin,18
387,Dany Sabourin,18
387,Hannu Toivonen,18
387,Jeff Zatkoff,18
394,Hardy Åström,17
394,Jim Bedard,17
394,Tim Bernhardt,17
394,Yann Danis,17
394,Kevin Hodson,17
394,Devon Levi,17
400,John Blue,16
400,George Gardner,16
400,Harry Lumley,16
400,Leevi Merilainen,16
400,Steve Valiquette,16
405,Marv Edwards,15
405,Darren Jensen,15
405,Joni Ortio,15
405,Cayden Primeau,15
405,Garret Sparks,15
405,Bobby Taylor,15
411,Rick Heinz,14
411,Norm Maracle,14
413,Mike Blake,13
413,Gilles Gratton,13
413,Pierre Hamel,13
413,Ken Lockett,13
413,Jason Muzzatti,13
418,Marc Behrend,12
418,Jean-Francois Berube,12
418,Mario Brunetta,12
418,Devin Cooley,12
418,Warren Skorodenski,12
418,Mads Sogaard,12
418,Andrei Trefilov,12
418,Vincent Tremblay,12
426,Ken Broderick,11
426,Jim Craig,11
426,Marcus Hogberg,11
426,Rob Holland,11
426,Erik Källgren,11
426,Peter McDuffe,11
426,Mike Morrison,11
433,Michael Garnett,10
433,Philippe Sauve,10
435,John Adams,9
435,Michel Belhumeur,9
435,Zac Bierk,9
435,Jacob Fowler,9
435,Don Head,9
435,Bob Johnson,9
435,Seth Martin,9
435,Jim Pettie,9
