rank,name,value
1,"John Stockton",15806
2,"Chris Paul",12552
3,"Jason Kidd",12091
4,"LeBron James",12016
5,"Russell Westbrook",10351
6,"Steve Nash",10335
7,"Mark Jackson",10334
8,"Magic Johnson",10141
9,"Oscar Robertson",9887
10,"Isiah Thomas",9061
11,"Gary Payton",8966
12,"James Harden",8873
13,"Andre Miller",8524
14,"Rod Strickland",7987
15,"Rajon Rondo",7584
16,"Maurice Cheeks",7392
17,"Lenny Wilkens",7211
18,"Terry Porter",7160
19,"Kyle Lowry",7110
20,"Tim Hardaway",7095
21,"Tony Parker",7036
22,"Bob Cousy",6955
23,"Guy Rodgers",6917
24,"Deron Williams",6819
25,"Mike Conley",6782
26,"Jrue Holiday",6762
27,"Stephen Curry",6743
28,"Muggsy Bogues",6726
29,"Kevin Johnson",6711
30,"Derek Harper",6577
31,"Tiny Archibald",6476
32,"Stephon Marbury",6471
33,"John Lucas",6454
34,"Reggie Theus",6453
35,"Norm Nixon",6386
36,"Kobe Bryant",6306
37,"Jerry West",6238
38,"Scottie Pippen",6135
39,"Clyde Drexler",6125
40,"John Havlicek",6114
41,"Nikola Jokić",6080
42,"Damian Lillard",6069
43,"Baron Davis",6025
44,"Mookie Blaylock",5972
45,"Sam Cassell",5939
46,"Avery Johnson",5846
47,"Nick Van Exel",5777
48,"John Wall",5735
49,"Dwyane Wade",5701
50,"Larry Bird",5695
51,"Kareem Abdul-Jabbar",5660
52,"Chauncey Billups",5636
53,"Michael Jordan",5633
54,"Allen Iverson",5624
55,"Mike Bibby",5517
56,"Dennis Johnson",5499
57,"Kevin Garnett",5445
58,"Jason Terry",5415
59,"Dave Bing",5397
60,"Damon Stoudamire",5371
61,"Draymond Green",5324
62,"Kevin Porter",5314
63,"Jeff Hornacek",5281
64,"Kevin Durant",5280
65,"Karl Malone",5248
66,"Rickey Green",5221
67,"Norm Van Lier",5217
68,"Kenny Anderson",5196
69,"DeMar DeRozan",5185
70,"Sleepy Floyd",5175
71,"Ricky Rubio",5160
72,"José Calderón",5148
73,"Andre Iguodala",5147
74,"Raymond Felton",5096
75,"Walt Frazier",5040
76,"Joe Johnson",5001
77,"Nate McMillan",4893
78,"Doc Rivers",4889
79,"Trae Young",4868
