rank,name,value
221,"Dan Issel",5707
222,"Rich Kelley",5678
223,"Danny Schayes",5671
224,"Hal Greer",5665
225,"Nicolas Batum",5656
226,"Ray Felix",5654
227,"Jusuf Nurkić",5644
228,"Brian Grant",5622
229,"Drew Gooden",5618
230,"Tom Gola",5617
231,"Jerry Sloan",5615
232,"Derrick Favors",5608
233,"Julius Erving",5601
234,"Tom Gugliotta",5589
235,"Chris Kaman",5582
236,"Otto Moore",5575
237,"Marvin Williams",5546
238,"Jim Fox",5525
239,"Hassan Whiteside",5523
240,"Al Harrington",5482
241,"Luol Deng",5468
242,"Chris Dudley",5457
243,"Adrian Dantley",5455
244,"DeMar DeRozan",5434
245,"Rashard Lewis",5433
246,"Jack Twyman",5424
247,"Joe Barry Carroll",5404
248,"Jerry West",5366
249,"Trevor Ariza",5356
250,"Mark West",5347
251,"Xavier McDaniel",5313
252,"Larry Johnson",5300
253,"Swen Nater",5297
254,"Greg Monroe",5293
255,"Joel Embiid",5280
256,"Rik Smits",5277
257,"Tracy McGrady",5276
258,"Ray Allen",5272
259,"Robert Horry",5269
259,"Gary Payton",5269
261,"Shawn Bradley",5268
262,"Dave Corzine",5262
263,"Cedric Maxwell",5261
264,"Ivica Zubac",5251
265,"Jeff Foster",5248
266,"Cliff Robinson",5237
267,"Brad Daugherty",5227
268,"Jim Chones",5196
269,"Don Nelson",5192
270,"Jack Coleman",5186
271,"George McGinnis",5177
272,"Rick Barry",5168
273,"Kenyon Martin",5159
274,"Ervin Johnson",5148
275,"Bismack Biyombo",5135
276,"Wayman Tisdale",5117
276,"Jamaal Wilkes",5117
278,"Cliff Hagan",5116
279,"Bobby Portis",5113
280,"John Drew",5088
281,"Rodney McCray",5087
282,"Kawhi Leonard",5075
283,"Bernard King",5060
284,"Joe Johnson",5059
285,"Tyrone Corbin",5046
286,"Lenny Wilkens",5030
287,"Arnie Risen",5011
288,"Kenny Carr",4999
289,"Chuck Share",4986
290,"Stephen Curry",4973
291,"Kyle Lowry",4970
292,"Mark Jackson",4963
293,"Kurt Rambis",4961
294,"Harrison Barnes",4955
295,"Lorenzen Wright",4943
296,"Luis Scola",4941
297,"Dwyane Wade",4933
298,"Bill Walton",4923
299,"Jeff Green",4907
300,"Loy Vaught",4881
301,"Brendan Haywood",4875
302,"Greg Ballard",4858
302,"Jimmy Butler",4858
304,"Gerald Wallace",4838
305,"Eddie Johnson",4832
306,"Walt Frazier",4830
307,"Marques Johnson",4817
308,"Michael Finley",4804
309,"Andre Miller",4795
310,"Bob Cousy",4786
311,"John Johnson",4778
311,"P.J. Tucker",4778
313,"Chuck Person",4763
314,"Connie Dierking",4757
315,"Mel Counts",4756
316,"Deandre Ayton",4742
317,"Myles Turner",4727
318,"Richard Jefferson",4720
319,"Thurl Bailey",4718
320,"Nazr Mohammed",4708
320,"James Worthy",4708
322,"Nick Collison",4701
323,"Amir Johnson",4692
324,"Aaron Gordon",4683
325,"Terry Tyler",4675
326,"Ersan İlyasova",4661
327,"Robin Lopez",4660
328,"Bob Love",4653
329,"Boris Diaw",4634
330,"Ed Davis",4616
331,"Danny Manning",4615
332,"Luke Jackson",4613
333,"Tom Hawkins",4607
334,"Theo Ratliff",4596
335,"Pascal Siakam",4594
336,"Jrue Holiday",4585
337,"Mark Aguirre",4578
338,"JaVale McGee",4577
339,"Don Kojis",4555
340,"Kendrick Perkins",4532
341,"Anderson Varejão",4531
342,"Fat Lever",4523
343,"Mike Bantom",4517
344,"Dwight Jones",4513
345,"Mark Olberding",4503
346,"Yao Ming",4494
347,"Jakob Poeltl",4476
348,"Nat Clifton",4469
349,"Jim Brewer",4458
350,"Jayson Tatum",4453
351,"Metta World Peace",4448
352,"Bo Outlaw",4437
353,"Mehmet Okur",4436
354,"Darryl Dawkins",4432
355,"Jamaal Magloire",4408
356,"Jack Marin",4405
357,"Neal Walk",4392
358,"Caron Butler",4387
358,"Derrick McKey",4387
358,"Glen Rice",4387
361,"Luka Dončić",4376
361,"Mike Miller",4376
363,"T.R. Dunn",4371
364,"Scott Wedman",4355
365,"Andrei Kirilenko",4352
366,"Rajon Rondo",4349
367,"Kenny Thomas",4341
368,"Tayshaun Prince",4332
369,"Ed Macauley",4325
370,"Kris Humphries",4314
371,"Ron Harper",4309
372,"Cliff Levingston",4307
373,"Sam Jones",4305
374,"Tony Battie",4287
375,"Matt Barnes",4281
376,"Al-Farouq Aminu",4280
377,"Richie Guerin",4278
378,"Steve Hawes",4272
379,"Dan Majerle",4265
380,"Curtis Rowe",4264
381,"Bobby Jones",4256
382,"Dennis Johnson",4249
383,"Greg Anderson",4246
383,"Mike Mitchell",4246
385,"Jason Richardson",4245
386,"Curtis Perry",4239
387,"Kermit Washington",4232
388,"George Yardley",4220
389,"Mike Dunleavy",4211
390,"Dale Ellis",4201
391,"Kelly Olynyk",4200
392,"Josh Hart",4192
393,"Glenn Robinson",4189
394,"Mel Hutchins",4186
395,"Reggie Miller",4182
396,"Roy Hibbert",4173
397,"John Collins",4172
398,"Robert Reid",4168
399,"George Mikan",4167
400,"Steve Mix",4159
401,"Jim Jackson",4152
402,"Greg Ostertag",4145
403,"Rasho Nesterović",4143
404,"Kenny Sears",4142
405,"Lonnie Shelton",4136
406,"Sidney Green",4128
407,"Rod Strickland",4084
408,"Shane Battier",4082
409,"Calvin Natt",4070
410,"Alvin Robertson",4066
411,"Zaid Abdul-Aziz",4065
412,"Nick Anderson",4064
413,"James Posey",4061
414,"Kristaps Porziņģis",4055
415,"John Stockton",4051
416,"Marvin Webster",4044
417,"Chris Mullin",4034
418,"LaPhonso Ellis",4032
419,"Kevin Kunnert",4031
420,"Corey Maggette",4022
421,"Billy Owens",4016
422,"Ralph Sampson",4011
423,"Channing Frye",4002
423,"Kendall Gill",4002
425,"Joe Kleine",3991
426,"Popeye Jones",3981
427,"Connie Hawkins",3971
427,"Hedo Türkoğlu",3971
429,"John Block",3965
430,"Ed Pinckney",3952
431,"Ken Norman",3949
432,"Kevin Duckworth",3945
433,"Larry Kenon",3942
433,"Tom Van Arsdale",3942
435,"Khris Middleton",3931
436,"Lou Hudson",3926
437,"Will Perdue",3918
438,"Keith Van Horn",3909
439,"George Lynch",3902
440,"Spencer Hawes",3893
441,"Dave Gambee",3891
442,"Kenneth Faried",3884
443,"Kent Benson",3881
443,"Rodney Rogers",3881
445,"Jason Thompson",3880
446,"Terry Porter",3872
447,"Toby Kimball",3870
448,"Eddie Jones",3857
449,"Jon Koncak",3856
450,"Markieff Morris",3847
451,"Sam Bowie",3845
451,"Damian Lillard",3845
453,"Pat Cummings",3825
454,"Dick Van Arsdale",3807
455,"Mitch Richmond",3801
456,"Guy Rodgers",3791
457,"Peja Stojaković",3782
458,"Joe Meriweather",3764
459,"Andrew Wiggins",3754
460,"Wendell Carter Jr.",3750
461,"Jerome Williams",3743
462,"Chris Gatling",3741
463,"Ben Poquette",3731
464,"Kyle Kuzma",3726
465,"Latrell Sprewell",3724
466,"Sam Mitchell",3711
467,"Jaylen Brown",3700
468,"Gordon Hayward",3698
469,"Manu Ginóbili",3697
470,"Orlando Woolridge",3696
471,"Marcus Morris",3690
472,"Bob Kauffman",3682
473,"Terry Mills",3680
474,"Quentin Richardson",3666
475,"Joel Przybilla",3665
476,"Mookie Blaylock",3659
477,"Terry Dischinger",3646
477,"Jeff Hornacek",3646
479,"Kyle Korver",3643
480,"Steve Nash",3642
481,"Harvey Catchings",3639
481,"J.J. Hickson",3639
483,"Andris Biedriņš",3631
484,"Bingo Smith",3630
