rank,name,value
1,Hakeem Olajuwon,3830
2,Dikembe Mutombo,3289
3,Kareem Abdul-Jabbar,3189
4,Mark Eaton,3064
5,Tim Duncan,3020
6,David Robinson,2954
7,Patrick Ewing,2894
8,Shaquille O'Neal,2732
9,Tree Rollins,2542
10,Robert Parish,2361
11,Alonzo Mourning,2356
12,Marcus Camby,2331
13,Dwight Howard,2228
14,Brook Lopez,2147
15,Ben Wallace,2137
16,Shawn Bradley,2119
17,Manute Bol,2086
18,George Johnson,2082
19,Kevin Garnett,2037
20,Larry Nance,2027
21,Theo Ratliff,1968
22,Pau Gasol,1941
23,Anthony Davis,1848
24,Rudy Gobert,1842
25,Elton Brand,1828
26,Jermaine O'Neal,1820
27,Elvin Hayes,1771
28,Serge Ibaka,1759
29,Artis Gilmore,1747
30,Moses Malone,1733
31,Josh Smith,1713
32,Kevin McHale,1690
33,Vlade Divac,1631
34,Herb Williams,1605
35,Elden Campbell,1602
36,Benoit Benjamin,1581
37,DeAndre Jordan,1578
38,Samuel Dalembert,1546
39,Wayne Cooper,1535
40,Myles Turner,1527
41,Caldwell Jones,1517
42,Elmore Smith,1483
43,Alton Lister,1473
44,Andrei Kirilenko,1461
45,Rasheed Wallace,1460
46,Hot Rod Williams,1456
47,Mark West,1403
48,Erick Dampier,1398
49,Clifford Robinson,1390
50,Bob McAdoo,1363
51,Al Horford,1351
52,Kevin Durant,1344
53,Terry Tyler,1342
54,Tyson Chandler,1335
55,Zydrunas Ilgauskas,1327
56,Julius Erving,1293
56,Greg Ostertag,1293
58,Dirk Nowitzki,1281
59,Shawn Kemp,1279
60,Dale Davis,1270
61,James Donaldson,1267
62,JaVale McGee,1258
63,Marc Gasol,1254
64,Shawn Marion,1233
65,Harvey Catchings,1226
66,Chris Webber,1200
67,Andre Drummond,1197
68,Adonal Foyle,1193
68,Bo Outlaw,1193
70,LaMarcus Aldridge,1187
71,LeBron James,1185
72,Sam Lacey,1160
73,Roy Hibbert,1146
74,Karl Malone,1145
75,Hassan Whiteside,1143
76,Horace Grant,1136
77,Charles Jones,1134
78,Joe Barry Carroll,1122
79,Dan Roundfield,1117
80,P.J. Brown,1116
81,Rik Smits,1111
82,Brendan Haywood,1109
83,Bismack Biyombo,1102
83,Antonio McDyess,1102
85,Bob Lanier,1100
85,Buck Williams,1100
87,Andrew Lang,1099
88,Al Jefferson,1093
89,Andrew Bogut,1091
90,Giannis Antetokounmpo,1088
91,Ervin Johnson,1087
92,Thurl Bailey,1086
93,Mychal Thompson,1073
94,Amar'e Stoudemire,1054
95,Derrick Coleman,1051
96,Jack Sikma,1048
97,Robin Lopez,1045
97,Paul Millsap,1045
99,Robert Horry,1035
100,Bill Walton,1034
101,Chris Dudley,1027
102,Darryl Dawkins,1023
103,Clint Capela,1014
104,Rick Mahorn,1007
105,Emeka Okafor,1003
106,Chris Andersen,991
107,Mike Gminski,989
108,John Salley,983
109,Bobby Jones,982
110,LaSalle Thompson,972
111,Taj Gibson,965
111,Bill Laimbeer,965
113,Scottie Pippen,947
113,Kristaps Porzingis,947
115,Derrick Favors,939
116,Rasho Nesterovic,934
117,Sam Perkins,933
118,Chris Bosh,932
119,Chris Kaman,931
120,Draymond Green,930
121,Antoine Carr,925
122,Yao Ming,920
123,Raef LaFrentz,919
124,Sam Bowie,909
125,Shane Battier,906
126,Jonas Valanciunas,905
127,Kendrick Perkins,903
128,Michael Jordan,893
129,Lamar Odom,892
130,Antonio Davis,889
131,Charles Barkley,888
131,Vince Carter,888
133,Marcin Gortat,885
133,Nikola Vucevic,885
133,Dwyane Wade,885
136,Roy Hinson,882
137,Joakim Noah,874
138,Rony Seikaly,872
139,Joe Smith,868
140,James Edwards,867
141,Kenyon Martin,864
142,David West,850
143,Dave Corzine,848
143,Donyell Marshall,848
145,Jaren Jackson Jr.,846
146,Kurt Thomas,841
147,Danny Schayes,840
148,Amir Johnson,839
149,Joel Przybilla,836
150,Alex English,833
151,Marvin Webster,828
152,Karl-Anthony Towns,811
153,Joe Meriweather,810
154,Alvan Adams,808
155,Tracy McGrady,807
156,Jerome Kersey,799
157,Vin Baker,798
157,Rudy Gay,798
159,Ben Poquette,794
159,Clarence Weatherspoon,794
161,Jon Koncak,791
162,Jakob Poeltl,789
162,Charles Smith,789
164,Joel Embiid,784
164,Jerami Grant,784
166,Gar Heard,780
167,Duane Causwell,767
168,Oliver Miller,758
169,Larry Bird,755
170,Pervis Ellison,752
170,Danny Manning,752
170,Ralph Sampson,752
173,Jarrett Allen,750
173,Randy Breuer,750
173,Kevin Willis,750
176,Rich Kelley,749
177,Paul Pierce,745
178,DeMarcus Cousins,742
179,Dave Greenwood,736
180,Ron Harper,729
181,Michael Cage,725
182,Steven Adams,723
183,Nene,721
184,Nicolas Batum,720
185,Clyde Drexler,719
186,Clemon Johnson,717
187,Tony Battie,713
188,Billy Paultz,706
189,Mason Plumlee,703
190,Michael Olowokandi,697
191,Kurt Nimphius,696
192,Jim McIlvaine,691
193,Mitchell Robinson,690
194,Kelvin Cato,685
195,James Harden,683
195,Nerlens Noel,683
195,Stromile Swift,683
198,Gerald Wallace,681
199,Dennis Johnson,675
199,Christian Laettner,675
201,George Gervin,670
202,Jusuf Nurkic,669
203,Bill Cartwright,668
204,Andrew Bynum,657
205,James Johnson,655
206,Daniel Gafford,653
207,Spencer Hawes,652
208,Olden Polynice,651
209,Terry Cummings,650
210,Carmelo Anthony,644
211,Jim Chones,643
212,John Henson,642
212,Dominique Wilkins,642
214,Kobe Bryant,640
215,Nazr Mohammed,639
216,Shareef Abdur-Rahim,638
216,Clifford Ray,638
218,Danny Green,634
219,Andre Iguodala,633
220,Mickey Johnson,632
221,DeSagana Diop,630
222,Spencer Haywood,629
223,Tom Chambers,627
223,Victor Wembanyama,627
225,James Worthy,624
226,Kevin Kunnert,616
227,Alex Len,615
227,Ivica Zubac,615
229,Darko Milicic,613
230,Nic Claxton,611
230,Derrick McKey,611
232,Armen Gilliam,607
233,Jamaal Magloire,603
234,Sidney Wicks,596
235,Jeff Green,593
235,Cliff Levingston,593
235,Ronny Turiaf,593
238,Brad Miller,592
239,Tom Burleson,591
240,Greg Anderson,590
241,Nikola Jokic,589
242,Andrew Wiggins,587
243,Kent Benson,586
244,Andris Biedrins,580
244,Eddie Jones,580
246,Robert Covington,578
247,Marvin Williams,577
248,Grant Hill,576
249,Lorenzen Wright,572
250,Keon Clark,571
251,Orlando Woolridge,569
252,Ed Davis,566
253,Tobias Harris,565
254,Brian Grant,561
255,Lonnie Shelton,559
256,Nate Thurmond,553
257,Kermit Washington,550
258,Gorgui Dieng,549
258,Luc Longley,549
258,Chris Mullin,549
261,A.C. Green,546
261,Jawann Oldham,546
263,Derrick White,544
264,Jrue Holiday,541
264,Rashard Lewis,541
266,Channing Frye,540
266,Chris Morris,540
268,Aaron Williams,539
269,Bam Adebayo,538
269,Maurice Lucas,538
271,Felton Spencer,534
272,Evan Mobley,532
272,Brian Skinner,532
274,Joel Anthony,531
274,Dennis Rodman,531
276,Steve Johnson,530
277,John Collins,529
278,Will Perdue,527
279,Tristan Thompson,526
280,Marques Johnson,525
280,Tyrus Thomas,525
282,Michael Cooper,523
283,Metta World Peace,522
284,James Bailey,521
285,Eddie Griffin,518
286,Jim Brewer,510
286,Boris Diaw,510
286,Truck Robinson,510
289,Mark Blount,508
290,Kosta Koufos,506
291,Brad Lohaus,503
292,Otis Thorpe,501
293,Tayshaun Prince,500
293,Wayman Tisdale,500
295,Sean Rooks,499
296,Kawhi Leonard,498
297,Darius Miles,495
298,Arvydas Sabonis,494
299,Rodney McCray,493
300,Tom Gugliotta,492
301,Jason Maxiell,490
302,Dave Cowens,488
303,Blair Rasmussen,484
304,Danny Granger,481
304,Lloyd Neal,481
306,Brandon Bass,479
307,Mike Bantom,478
308,LaPhonso Ellis,477
309,John Gianelli,476
310,Robert Williams,475
311,Drew Gooden,474
311,Walker Kessler,474
313,Andrea Bargnani,470
314,Nick Collison,469
314,Antoine Walker,469
316,Kyle Anderson,467
317,Klay Thompson,465
318,Mo Bamba,463
319,Andray Blatche,458
319,Thaddeus Young,458
321,Larry Smith,457
322,Kurt Rambis,456
323,Aaron Gordon,455
323,Edgar Jones,455
323,Gheorghe Muresan,455
326,Kris Humphries,454
327,Mehmet Okur,453
327,Kyle O'Quinn,453
329,Rodney Rogers,451
330,Deandre Ayton,450
330,Jason Kidd,450
332,Richaun Holmes,449
333,Dan Gadzuric,448
334,Wilt Chamberlain,446
335,Naz Reid,445
336,Matt Barnes,444
336,Luol Deng,444
336,Chris Mihm,444
339,Ian Mahinmi,443
340,P.J. Washington,442
341,Cliff Robinson,441
342,John Wall,439
343,Jerry Stackhouse,437
344,Ed Pinckney,435
345,Cedric Maxwell,433
346,Kendall Gill,432
347,Ken Norman,431
348,Isaiah Stewart,430
349,Larry Sanders,429
349,Ekpe Udoh,429
351,Harvey Grant,428
351,Paul Pressey,428
353,Etan Thomas,427
354,Brandan Wright,425
355,Shai Gilgeous-Alexander,422
355,Steven Hunter,422
357,Antawn Jamison,421
357,Scott Williams,421
359,Russell Westbrook,418
360,Paul George,417
360,Reggie Lewis,417
362,DeMar DeRozan,416
362,Xavier McDaniel,416
364,Wilson Chandler,414
364,Greg Kite,414
364,Tim Perry,414
364,Jason Thompson,414
368,Dewayne Dedmon,409
369,Rasual Butler,408
369,Jason Smith,408
371,Onyeka Okongwu,407
371,David Thompson,407
371,Anderson Varejao,407
371,Reggie Williams,407
375,Walt Williams,406
376,Len Elmore,405
377,Montrezl Harrell,404
378,Kyle Korver,403
378,Robert Reid,403
380,Wesley Johnson,402
381,Mike Mitchell,400
382,Maurice Harkless,399
382,Pascal Siakam,399
382,Latrell Sprewell,399
385,Al-Farouq Aminu,397
385,Brad Daugherty,397
385,Dwight Jones,397
388,Goga Bitadze,396
388,Dan Issel,396
390,Glenn Robinson,389
391,Francisco Garcia,388
392,Jimmy Butler,387
392,Isaiah Hartenstein,387
392,Jayson Tatum,387
395,Stanley Roberts,385
396,Eddy Curry,384
396,Jerome James,384
396,Charles Oakley,384
399,Scottie Barnes,383
399,Timofey Mozgov,383
401,Kim Hughes,382
402,Travis Outlaw,381
403,Markieff Morris,380
403,Steve Stipanovich,380
405,Mikal Bridges,379
405,Tyrone Hill,379
405,Jaden McDaniels,379
408,Zaza Pachulia,378
409,Kevin Love,377
410,Kwame Brown,376
411,Chris Gatling,375
412,Magic Johnson,374
413,Greg Monroe,373
413,Kelly Olynyk,373
415,Dean Garrett,372
415,Mike Green,372
417,Alvin Scott,371
418,Leroy Ellis,369
419,Jason Richardson,367
419,Wes Unseld,367
421,Grant Long,366
421,Thabo Sefolosha,366
423,Nick Anderson,364
423,Derrick Jones Jr.,364
425,Enes Freedom,363
425,Jim Petersen,363
427,Luke Kornet,362
428,Earl Cureton,361
428,Bob Gross,361
428,CJ McCollum,361
428,Lionel Simmons,361
432,Baron Davis,360
432,Dan Majerle,360
434,Jason Collins,359
