rank,name,value
244,Eric Piatkowski,865
244,Anthony Tolliver,865
246,Luguentz Dort,862
247,Avery Bradley,859
248,Immanuel Quickley,857
249,Tyrese Haliburton,856
250,Eric Bledsoe,854
250,O.J. Mayo,854
252,Arron Afflalo,852
253,Jalen Green,850
254,Sam Perkins,849
255,John Stockton,845
256,Draymond Green,843
257,Caris LeVert,839
258,Devin Harris,832
259,Jeff Hornacek,828
260,Clyde Drexler,827
261,Aaron Gordon,823
261,Landry Shamet,823
263,Brandon Ingram,822
264,Aaron Brooks,820
265,J.J. Barea,819
266,Bruce Bowen,818
267,Eddie House,817
268,Chris Mullin,815
269,Trey Murphy III,814
269,Victor Oladipo,814
271,Nickeil Alexander-Walker,811
271,Nate Robinson,811
273,Anthony Morrow,807
274,Rex Chapman,805
274,Doug Christie,805
276,Saddiq Bey,801
277,Matt Bonner,797
277,Pascal Siakam,797
279,Robert Horry,795
280,Shawn Marion,791
281,Martell Webster,790
282,Austin Rivers,789
283,Jaren Jackson Jr.,788
284,Devin Vassell,782
285,James Jones,776
286,Jodie Meeks,775
286,Byron Scott,775
288,Rick Fox,771
289,Devonte' Graham,767
289,Jamal Mashburn,767
291,Isaiah Joe,765
292,P.J. Washington,756
293,Mario Chalmers,755
294,Tracy Murray,753
295,Malcolm Brogdon,752
295,Josh Hart,752
297,Caron Butler,746
297,Jalen Rose,746
299,Max Strus,742
300,RJ Barrett,739
301,Monta Ellis,737
302,Marcus Thornton,735
303,Mark Jackson,734
304,Tyus Jones,732
305,Toni Kukoc,731
305,Naz Reid,731
307,Shai Gilgeous-Alexander,729
308,Hubert Davis,728
308,Tony Snell,728
310,Steve Kerr,726
310,John Salmons,726
312,Collin Sexton,723
312,Garrett Temple,723
314,Bryn Forbes,720
314,Sam Hauser,720
316,Jimmy Butler,716
316,Charlie Villanueva,716
318,Brandon Knight,715
319,Keith Bogans,714
319,Cedi Osman,714
321,Dominique Wilkins,711
322,Jeff Teague,708
323,Lonzo Ball,702
323,Pat Connaughton,702
325,Kent Bazemore,694
325,Kerry Kittles,694
327,Rodney Rogers,690
328,Bobby Jackson,689
329,Mike James,687
329,Chandler Parsons,687
331,Bryon Russell,685
332,Otto Porter Jr.,684
333,Keldon Johnson,679
333,Mickael Pietrus,679
335,Carlos Delfino,678
336,Danny Ferry,677
337,Sam Cassell,672
338,Isaiah Rider,667
339,Corey Kispert,666
340,Lamar Odom,664
340,Kenny Smith,664
342,DeMar DeRozan,662
342,De'Andre Hunter,662
344,Markieff Morris,659
345,DeMarre Carroll,658
345,Luol Deng,658
347,Jon Barry,657
348,John Wall,651
349,Larry Bird,649
349,Chris Duhon,649
351,Rodney Hood,647
352,Trey Lyles,646
353,Derek Anderson,645
354,Langston Galloway,639
354,Dario Saric,639
354,Charlie Ward,639
357,Ricky Rubio,637
358,Darren Collison,635
359,Pat Garrity,631
360,Patrick Patterson,630
361,Andrea Bargnani,627
362,Dejounte Murray,623
363,Craig Ehlo,621
364,Jarrett Jack,620
364,Glenn Robinson,620
366,Allen Crabbe,617
366,Dorell Wright,617
368,Serge Ibaka,614
368,Wesley Johnson,614
368,De'Anthony Melton,614
368,Nikola Mirotic,614
372,Troy Murphy,613
373,Austin Reaves,611
374,Greg Anthony,610
375,Dee Brown,605
376,Jeremy Lamb,601
377,Johnny Newman,600
378,Matt Bullard,599
378,Quentin Grimes,599
380,Keith Van Horn,597
381,Mehmet Okur,596
381,Anthony Parker,596
383,Roger Mason,594
384,Derrick Rose,590
384,Wally Szczerbiak,590
386,Sean Elliott,589
387,Andres Nocioni,587
388,Joel Embiid,585
389,Luke Ridnour,584
390,Ricky Davis,583
390,Jordan Farmar,583
392,John Collins,581
392,Francisco Garcia,581
392,Michael Jordan,581
395,Cameron Payne,579
396,Daniel Gibson,578
397,Steve Francis,575
397,Steve Novak,575
397,Trent Tucker,575
397,Dion Waiters,575
401,Mario Elie,574
401,Keegan Murray,574
403,Tayshaun Prince,569
404,Todd Day,568
405,Trey Burke,564
406,Craig Hodges,563
407,Eddie Johnson,562
408,Giannis Antetokounmpo,557
409,E'Twaun Moore,556
410,Troy Daniels,555
411,Chris Whitney,552
412,Jevon Carter,550
412,DeShawn Stevenson,550
414,Dwyane Wade,549
415,Jaden McDaniels,548
416,Kenny Anderson,547
417,Al-Farouq Aminu,543
418,Deni Avdija,542
418,Svi Mykhailiuk,542
420,Paul Millsap,541
420,Mirza Teletovic,541
422,Charles Barkley,538
422,Blake Griffin,538
424,Terry Mills,533
424,Jabari Smith Jr.,533
424,Sasha Vujacic,533
427,Darrell Griffith,530
427,Richard Hamilton,530
429,Lamond Murray,528
430,Cory Joseph,525
431,Cade Cunningham,524
431,Larry Hughes,524
431,Scott Skiles,524
434,Ron Harper,523
435,Brandon Rush,522
435,Thaddeus Young,522
437,Mike Muscala,519
437,Tony Parker,519
439,Sleepy Floyd,518
440,Willie Green,517
441,Howard Eisley,516
442,Aaron Nesmith,515
443,Thabo Sefolosha,513
444,Julian Champagnie,507
445,Corey Brewer,503
445,Anfernee Hardaway,503
447,Earl Watson,502
448,Tyreke Evans,500
448,A.J. Green,500
448,Kevin Porter Jr.,500
451,Jerryd Bayless,499
452,Nemanja Bjelica,498
452,Grant Williams,498
454,Chris Morris,497
454,Lonnie Walker IV,497
456,Maxi Kleber,496
457,Aaron Holiday,495
458,Mike Scott,494
459,Omri Casspi,493
460,Rui Hachimura,492
460,Brandon Miller,492
462,Iman Shumpert,489
463,Garrison Mathews,484
464,Alex Caruso,478
464,Raef LaFrentz,478
466,Boris Diaw,475
466,Detlef Schrempf,475
468,Mahmoud Abdul-Rauf,474
469,Ty Lawson,473
470,Tony Delk,472
470,Monte Morris,472
470,Franz Wagner,472
473,Sam Merrill,471
473,C.J. Watson,471
475,Beno Udrih,465
476,Corey Maggette,463
477,Tyronn Lue,460
477,Gary Neal,460
479,Jalen Suggs,459
479,Gabe Vincent,459
481,Cole Anthony,457
481,Jason Kapono,457
483,Walter McCarty,456
484,Keyonte George,455
485,Troy Hudson,452
486,Luther Head,451
487,Josh Smith,450
488,Jeremy Lin,449
488,Rajon Rondo,449
490,Keyon Dooling,446
491,Toney Douglas,444
492,Daequan Cook,442
493,Bones Hyland,440
494,Chris Mills,439
495,Charlie Bell,438
495,Tyler Johnson,438
495,Moses Moody,438
498,B.J. Armstrong,436
499,Ja Morant,435
500,Patrick Williams,434
501,Ayo Dosunmu,433
502,Marc Gasol,431
502,Brian Shaw,431
504,JaMychal Green,430
505,Austin Croshere,429
506,Michael Cooper,428
506,Frank Kaminsky,428
508,Devean George,427
509,DeMarcus Cousins,426
509,Maurice Evans,426
511,Jumaine Jones,425
512,Torrey Craig,423
512,Bob Sura,423
514,Josh Giddey,422
515,Gerald Wilkins,418
516,Christian Wood,415
517,Chase Budinger,413
517,Rudy Fernandez,413
519,Toumani Camara,412
519,Shaedon Sharpe,412
519,Obi Toppin,412
519,Greivis Vasquez,412
523,Matthew Dellavedova,409
524,Gerald Wallace,407
525,Dean Wade,406
526,Jose Alvarado,405
526,Furkan Korkmaz,405
528,Erick Strickland,404
529,Lucious Harris,402
530,Jonas Jerebko,400
530,Jannero Pargo,400
530,James Robinson,400
530,Nik Stauskas,400
534,Matt Maloney,399
535,Isiah Thomas,398
536,Jamaal Tinsley,397
537,Santi Aldama,396
537,Simone Fontecchio,396
539,Davion Mitchell,395
540,Luke Babbitt,394
540,Terrell Brandon,394
542,Miles McBride,393
543,Mark Aguirre,392
543,Jarvis Hayes,392
543,Brad Lohaus,392
543,Isaac Okoro,392
543,Victor Wembanyama,392
543,Kenrich Williams,392
549,Aaron McKie,388
550,Linas Kleiza,387
551,Damion Lee,386
552,Anthony Davis,385
552,Terance Mann,385
554,Earl Boykins,384
555,James Johnson,381
556,Lee Mayberry,379
557,Maurice Harkless,378
557,Bobby Simmons,378
557,Aaron Wiggins,378
560,Derrick Jones Jr.,376
560,Delonte West,376
562,Paolo Banchero,375
563,Chris Boucher,373
563,Fred Hoiberg,373
563,Lance Stephenson,373
563,Reggie Williams,373
567,Chris Childs,372
568,Danuel House Jr.,368
569,Larry Johnson,367
569,Andrei Kirilenko,367
571,Scottie Barnes,366
571,Isaiah Canaan,366
573,Max Christie,363
573,Brent Price,363
573,Hollis Thompson,363
576,Solomon Hill,362
576,Cam Thomas,362
576,Delon Wright,362
579,Doc Rivers,361
579,Sebastian Telfair,361
579,Denzel Valentine,361
582,Antonio Daniels,359
582,Spencer Hawes,359
584,Brandin Podziemski,358
584,Pooh Richardson,358
586,Jaden Ivey,357
587,Bennedict Mathurin,353
587,Brice Sensabaugh,353
589,Rod Higgins,352
590,Wendell Carter Jr.,350
590,Darrick Martin,350
592,Ziaire Williams,348
593,Jaren Jackson,346
593,Fred Jones,346
595,Shabazz Napier,345
596,Matt Carroll,344
596,Darius Miller,344
596,Travis Outlaw,344
599,Josh Howard,342
599,Bobby Phills,342
601,Kris Dunn,341
602,Bruce Brown,340
602,Stanley Johnson,340
602,Kevin Knox,340
605,Scott Burrell,339
606,Kendrick Nunn,338
607,Caleb Martin,337
608,Matisse Thybulle,336
609,Ryan Gomes,334
609,Meyers Leonard,334
611,Josh Okogie,333
612,Anthony Johnson,332
613,Alan Anderson,331
613,Juan Dixon,331
615,Jordan Crawford,330
615,Terence Davis,330
617,Herbert Jones,329
617,Sam Mack,329
619,Terry Dehere,328
619,Ronald Murray,328
621,Josh Green,327
621,Ty Jerome,327
623,Derrick Coleman,326
624,Magic Johnson,325
624,Bostjan Nachbar,325
626,Amir Coffey,324
626,Jaden Hardy,324
628,Jalen Williams,323
629,Brandon Roy,322
630,Timothe Luwawu-Cabarrot,320
630,Spud Webb,320
632,James Ennis III,317
633,Kendall Gill,315
633,Domantas Sabonis,315
635,Jalen Smith,313
636,Andrew Nembhard,311
637,Sasha Pavlovic,308
638,Shandon Anderson,307
638,Bub Carrington,307
638,Ish Smith,307
641,Troy Brown Jr.,306
641,Keon Ellis,306
641,Mike McGee,306
641,Bryant Stith,306
645,Chris Bosh,305
645,Jeff McInnis,305
647,Blue Edwards,304
648,Shelvin Mack,302
649,Rodney McGruder,301
650,Devin Brown,300
650,Tre Mann,300
652,Kyle Singler,299
653,Nate McMillan,298
653,Shake Milton,298
655,Naji Marshall,296
655,Eric Murdock,296
655,Ricky Pierce,296
658,Kyle Anderson,295
659,Rashad McCants,292
660,Mo Bamba,291
660,Michael Beasley,291
662,Yogi Ferrell,289
662,Gordan Giricek,289
662,Marko Jaric,289
662,Smush Parker,289
666,Michael Dickerson,288
666,Kareem Rush,288
668,Scott Brooks,287
669,Collin Gillespie,286
670,Vit Krejci,283
671,Moritz Wagner,282
672,Ochai Agbaji,278
673,Cam Reddish,277
674,Shannon Brown,276
674,Emmanuel Mudiay,276
674,Rodney Stuckey,276
677,Keith Askins,275
677,Reed Sheppard,275
677,Shawne Williams,275
680,DerMarr Johnson,274
681,Kon Knueppel,273
681,John Paxson,273
681,Cason Wallace,273
684,T.J. Warren,271
685,Brad Davis,270
685,Dennis Smith Jr.,270
685,Evan Turner,270
688,Matas Buzelis,269
689,Jalen Johnson,268
690,Jaylen Wells,267
691,Travis Best,266
691,Jordan Hawkins,266
691,Juancho Hernangomez,266
691,Mario Hezonja,266
695,Chris Webber,264
696,Jud Buechler,263
696,Josh Jackson,263
698,Brian Cook,262
698,Larry Nance Jr.,262
700,Chet Holmgren,261
701,Tim Legler,260
702,Gradey Dick,258
702,Raul Neto,258
702,Jaylin Williams,258
705,Shammond Williams,256
706,Drazen Petrovic,255
707,Damyean Dotson,253
708,Bimbo Coles,252
709,Derrick Williams,251
710,Zach Collins,250
711,Gerald Henderson,249
711,Scoot Henderson,249
711,Talen Horton-Tucker,249
714,Sterling Brown,248
715,Frank Jackson,247
716,Sandro Mamukelashvili,246
716,Jonas Valanciunas,246
718,John Lucas,244
718,Ronnie Price,244
720,Brian Cardinal,243
720,Vinny Del Negro,243
720,Dante Exum,243
723,LaPhonso Ellis,241
724,Ian Clark,240
724,Scott Padgett,240
726,Greg Buckner,239
726,Eldridge Recasner,239
726,Ryan Rollins,239
726,Lindy Waters III,239
730,Jonathan Kuminga,238
730,Reggie Theus,238
732,Cory Alexander,237
732,Eddie Griffin,237
732,Jordan Nwora,237
732,Tomas Satoransky,237
736,Justin Jackson,236
736,Alvin Robertson,236
738,Cedric Ceballos,235
738,Khalid Reeves,235
740,Darius Bazley,234
741,Tari Eason,233
742,Marreese Speights,232
743,Mike Evans,231
743,Ken Norman,231
745,Jarace Walker,230
746,Bam Adebayo,229
746,Rolando Blackman,229
746,Christian Braun,229
746,Justise Winslow,229
750,Noah Clowney,228
750,Kevin Gamble,228
750,Jonathan Isaac,228
753,LaMarcus Aldridge,227
753,Tom Chambers,227
753,John Konchar,227
753,Chuma Okeke,227
753,Isaiah Stewart,227
758,Jon Sundvold,226
759,Bonzi Wells,223
760,Haywood Highsmith,220
761,Alex Abrines,219
761,Grant Hill,219
761,Jay Humphries,219
761,Onyeka Okongwu,219
761,Eric Williams,219
766,Malaki Branham,218
766,Jordan Goodwin,218
766,Javonte Green,218
766,Cartier Martin,218
766,A.J. Price,218
766,Ime Udoka,218
766,Kiki Vandeweghe,218
773,Thomas Bryant,217
773,Zaccharie Risacher,217
773,Brian Roberts,217
776,Dante Cunningham,216
777,Jake LaRavia,215
778,Evan Mobley,214
779,World B. Free,213
779,Kyshawn George,213
781,Jabari Parker,212
782,David Benoit,211
782,Quincy Pondexter,211
784,Kelenna Azubuike,210
785,Jay Huff,209
785,Casey Jacobsen,209
787,Tom Gugliotta,208
787,Harold Pressley,208
787,Ramon Sessions,208
787,Alvin Williams,208
791,Norris Cole,207
791,Luc Mbah a Moute,207
793,Anthony Goldwire,206
793,Frank Ntilikina,206
795,Damien Wilkins,205
796,Calbert Cheaney,204
797,Gerald Henderson,203
797,Derrick McKey,203
797,Pablo Prigioni,203
797,Jack Sikma,203
801,Bill Laimbeer,202
801,Sergio Rodriguez,202
803,Brad Miller,201
803,Ben Sheppard,201
803,Nick Smith Jr.,201
806,Rodney Carney,200
806,Tristan Da Silva,200
806,Jalen Wilson,200
809,Anthony Black,199
809,Chris Duarte,199
809,Zach Randolph,199
809,Reggie Williams,199
813,Tyrone Corbin,198
813,GG Jackson II,198
815,Jaylen Nowell,197
816,James Anderson,196
816,Gorgui Dieng,196
816,Nikola Jovic,196
816,Jim Les,196
816,Josh McRoberts,196
821,Terrance Ferguson,195
821,Rod Strickland,195
821,Daniel Theis,195
824,Joe Hassett,194
824,Sean Kilpatrick,194
824,Guerschon Yabusele,194
824,Danny Young,194
828,Jimmer Fredette,193
828,Caleb Houstan,193
828,Andre Miller,193
828,Glenn Robinson III,193
828,Julian Strawther,193
833,Bilal Coulibaly,192
833,Keon Johnson,192
833,Kyle Macy,192
833,Marcus Sasser,192
837,Killian Hayes,191
837,Jordan McLaughlin,191
837,Tyrone Nesby,191
837,Elfrid Payton,191
841,Henry Walker,190
842,Semi Ojeleye,189
843,Oshae Brissett,188
843,Pete Chilcutt,188
843,Austin Daye,188
843,Malachi Flynn,188
843,T.J. McConnell,188
843,Sedale Threatt,188
849,Dewayne Dedmon,187
849,Rex Walters,187
851,Alonzo Gee,186
851,KJ Martin,186
853,Jae'Sean Tate,185
854,Quincy Acy,183
854,Dragan Bender,183
854,Michael Carter-Williams,183
857,Tre Jones,182
857,Theo Maledon,182
857,Luke Walton,182
860,Ryan Arcidiacono,181
861,Quinn Cook,180
861,Johnny Dawkins,180
861,Brian Scalabrine,180
861,Peyton Watson,180
865,Dan Dickau,179
865,Pau Gasol,179
867,Jamario Moon,177
868,Stephon Castle,176
868,Kevin Edwards,176
870,Ja'Kobe Walter,175
871,Kevin Garnett,174
871,Jerian Grant,174
871,Jalen McDaniels,174
871,Jeremiah Robinson-Earl,174
875,Leon Wood,173
876,Nassir Little,172
